FACILITYID,wildfire_risk
10004639,0.1836734693877551
10000450,849.468085106383
10004024,44.22727272727273
10004650,12.696428571428571
10006939,0.022222222222222223
10006303,69.01851851851852
10001082,8.68421052631579
10001091,11.426229508196721
10000356,165.1818181818182
10003943,352.7142857142857
10002237,158.75510204081633
10001866,1.826086956521739
10000630,135.5185185185185
10001077,1.78125
10001087,1.3492063492063493
10001100,5
10006663,2.706896551724138
10006658,2.7551020408163267
10006541,1.1111111111111112
10001089,2.5846153846153848
10005639,0.6739130434782609
10001856,0.5869565217391305
10006643,15.709677419354838
10004286,2.630434782608696
10003486,133.53061224489795
10003587,17.576271186440678
10003472,87.16326530612245
10005043,142.05769230769232
10000360,226.5820895522388
10003891,247.78
10004517,293.98039215686276
10006331,256.72727272727275
10004522,182.79166666666666
10000295,80.7843137254902
10003878,316.78846153846155
10003461,6.58
10000917,0.2
10003453,20.18867924528302
10000023,62.36764705882353
10000312,111.17307692307692
10002115,97.70588235294117
10003911,146.61702127659575
10006510,736.7719298245614
10004525,202.05555555555554
10001550,0.20408163265306123
10005208,365.26
10006354,17.20408163265306
10001636,0.34285714285714286
10001614,3.1449275362318843
10001552,0.3469387755102041
10003900,102
10006353,7.763636363636364
10002364,5.125
10004035,0.3269230769230769
10001569,34.752808988764045
10004491,279.50666666666666
10000918,0.2222222222222222
10001543,55.333333333333336
10001548,19.485294117647058
10000919,7.536231884057971
10002146,172.12121212121212
10002134,455.18461538461537
10001559,10.016129032258064
10001542,61
10004740,78.11111111111111
10004027,20.64179104477612
10000060,123.54098360655738
10004028,51.84057971014493
10005832,15.73076923076923
10000417,262.97435897435895
10000915,24.5625
10000474,987.6346153846154
10000445,1023.7659574468086
10006548,12.24561403508772
10006329,414.14285714285717
10000533,4.75
10000492,979.9615384615385
10002176,568
10000409,219.97222222222223
10006208,217.98076923076923
10001555,0.8723404255319149
10002152,384.1509433962264
10001574,34.48
10002223,56.23529411764706
10001448,288.8775510204082
10000509,164.14285714285714
10001437,11.090909090909092
10004586,137.54166666666666
10004556,218.46428571428572
10000433,108.86538461538461
10001176,2.8541666666666665
10006168,17.526315789473685
10002225,115.94545454545455
10004585,291.7068965517241
10004239,41.851063829787236
10000413,261.1730769230769
10001042,8.275862068965518
10001936,5.3061224489795915
10004580,223.515625
10006297,1.891304347826087
10001867,1.297872340425532
10001061,0.39436619718309857
10001166,27.775862068965516
10000438,260.5079365079365
10006511,376.5925925925926
10000187,110.09638554216868
10002941,53.43103448275862
10006328,19097.87037037037
10001068,0.17567567567567569
10000186,109.25333333333333
10000205,97.98550724637681
10004903,0.09615384615384616
10000285,51.65625
20000140,141.4313725490196
10004256,174.42222222222222
10004895,0.62
20000201,447.037037037037
10004822,11.382978723404255
10000099,341.61764705882354
10001072,0.9333333333333333
10001051,4.911111111111111
10006382,0.14583333333333334
10003203,500.9583333333333
10001748,169.43939393939394
10000292,103.046875
10006176,31.775510204081634
10006333,359.2826086956522
10004168,168.88
10001760,184
10000314,100.0952380952381
10002106,159.72307692307692
10006153,315.969696969697
10002129,469.75
10003618,6.384615384615385
10003973,96.34920634920636
10000580,137.08333333333334
10001421,373.01612903225805
10001980,44.79661016949152
10006661,0.30434782608695654
10000378,144.43076923076924
10004496,485.62264150943395
10000297,412.06451612903226
10000323,165.26785714285714
10005199,519.3269230769231
10000284,326.44615384615383
10000303,583.015625
10000565,1.8688524590163935
10000496,159.60714285714286
10002137,276.1515151515151
10002108,248.19230769230768
10000304,167.91525423728814
10000310,181.0597014925373
10001975,37.95384615384615
10000283,341.17543859649123
10000601,460.1857142857143
10000258,20980.265625
10000579,149.62295081967213
10002126,135.47761194029852
10004453,151.51923076923077
10000582,96.03333333333333
10006542,6.2444444444444445
10000318,506.671875
20000200,408.29411764705884
10003952,57.68181818181818
10001391,42.659574468085104
10005201,395.5833333333333
10004724,0.7446808510638298
10000639,1.10752688172043
10003386,23.181818181818183
10002142,808.9677419354839
10004514,341.2692307692308
10001040,3.6231884057971016
10000925,14.15625
10001593,87.46774193548387
10002088,2.75
10000226,89.2063492063492
10002095,136.32
10001362,1.6619718309859155
10000277,13.542857142857143
10000272,5.390625
10001389,1.8873239436619718
10000694,12.62295081967213
10001386,11.2875
10003824,19.86111111111111
10001341,14.683333333333334
10004594,226.82089552238807
10004647,0
10006385,102.37037037037037
10002872,0
10005771,8.686274509803921
10000274,7.75
10002701,363.54237288135596
10001383,6.754385964912281
10001457,11.714285714285714
10003076,141.26315789473685
10005124,0.7543859649122807
10000264,19.360655737704917
10004592,327.43939393939394
10004593,271.49295774647885
10003978,93.31666666666666
10006179,106.55405405405405
10001214,140.37037037037038
10001223,226.36206896551724
10000149,338.77966101694915
10001957,9.6610169491525415
10000132,319.0923076923077
10000140,81.25
10000142,145.16666666666666
10000278,8.94915254237288
10001226,50
10004622,12.612244897959183
