FACILITYID,rmp_prox
10000002,1.882947615469113
10000004,1.7213724300367796
10000006,0.049354611018946046
10000010,0.16049702209564481
10000013,0.13357928647790904
10000014,0.25841443652436474
10000017,0.1540702135869513
10000023,0.04238446951142802
10000025,0.07657380344903814
10000028,0.027334771774433105
10000033,3.1221469635531034
10000037,0.14957354789243602
10000041,0.3236565676961912
10000042,0.36253437546487455
10000043,0.10925772816802837
10000044,0.10899942858720735
10000050,0.1450504731398402
10000053,0.28404078399864924
10000055,0.13449849044375867
10000056,0.018228268172575533
10000057,0.11570778060419644
10000059,0.25679620769291533
10000060,0.03919916279232583
10000062,11.849838999455832
10000065,2.526144492341863
10000066,0.13233881455497856
10000069,0.031609154721871244
10000070,0.03116841906419855
10000072,0.057696391835496796
10000075,0.0394872252220855
10000076,1.1085239814718073
10000077,0.13519150527215434
10000078,1.2701727309933748
10000079,0.21477493914830245
10000080,0.2086217138369949
10000081,0.21613069745015545
10000083,0.03905001764441952
10000084,0.04132733819676379
10000085,0.028838874437466893
10000087,0.7747594849021898
10000088,0.037999547293501953
10000089,0.03751044902397928
10000090,0.03773282977965433
10000092,0.05192943493268864
10000094,1.891737028182886
10000095,0.7060588047478268
10000098,0.16364960642750337
10000099,0.0509120773871567
10000100,0.0250429410718939
10000101,0.0692059880081534
10000102,0.07459311841296495
10000103,0.07095911156395954
10000106,0.22010252847012357
10000107,0.037127190706306754
10000109,0.8979995753745361
10000110,0.028905804470483
10000111,0.033368626061510906
10000112,0.045414740144977574
10000115,0.02608498180087916
10000116,0.15506828334085876
10000117,2.1870610014753438
10000118,0.07298980762456193
10000119,0.07479395598271799
10000120,0.0652265318695967
10000121,0.08786892459847169
10000122,0.07326489401714999
10000123,0.5998833035790353
10000124,0.2332312555304168
10000126,0.08304201561581732
10000127,0.8486696267496093
10000128,0.03366494427786241
10000129,0.09471563188349391
10000132,0.7166839316400515
10000135,0.22043245420080132
10000136,0.07365617848890345
10000139,0.2335074532524743
10000140,0.2533300109593877
10000141,0.7224744073229694
10000142,0.020758838432062166
10000143,0.05442003813390127
10000144,0.06071000315510833
10000146,0.11055923544246118
10000149,0.23813723140519305
10000150,1.734951732717866
10000151,0.17945297387479717
10000152,0.49776063395247694
10000154,3.5985302191852364
10000155,0.9937234001562858
10000156,0.17166833011417595
10000157,0.0522353094946864
10000161,0.9206703538289069
10000163,1.9877561272344684
10000165,0.1481429412167227
10000172,0.2864007372513605
10000174,0.11642678447304512
10000175,0.8216763698241405
10000176,0.7271533553347778
10000178,0.7652433844651594
10000180,0.043399214243574465
10000182,0.6248988855631086
10000183,0.1622715512341948
10000185,0.10871005025708236
