FACILITYID,flood_risk_area_m2,flood_risk_percent
10006642,0,0
10000729,438997.41010602884,10.067418317712143
10002616,0,0
10003486,0,0
10003455,452439.22144422063,13.012404214128972
10003460,174748.55746557552,4.726235771660486
10003488,98374.08379187231,2.782416354784291
10003483,0,0
10003472,164429.3091671135,4.566127842377174
10003479,0,0
10003464,37641.89218510575,0.6766678212079256
10003465,0,0
10002617,0,0
10003453,40743.13217564319,1.0491788659226013
10001701,396328.6310849329,10.424930390450186
10003447,0,0
10003461,585864.8905198121,15.94513099242999
10001699,0,0
10001080,871417.8125334594,19.683422648947946
10001082,874298.008492899,20.822898875918042
10001091,0,0
10001090,1344627.7683305056,22.715949143709395
10004024,1786868.9640678251,36.22421343121316
10001574,1601206.621719061,43.343052421880635
10001936,0,0
10004134,145717.56859245402,3.403748544500779
10006305,0,0
10001925,12081.168518350287,0.33163481716762383
10006956,349947.7583575184,10.79404005802356
10006957,0,0
10001590,NA,NA
10000356,1484420.060902829,30.406663347824047
10000187,1062758.577206298,18.06587649038331
10002941,0,0
10000186,621356.7824036933,11.181437787717972
10000205,67333.09897757531,1.2716122138126742
10000257,0,0
10004143,NA,NA
10004146,0,0
10002998,0,0
10001866,978363.7654649412,28.419559133309214
10006614,0,0
10001980,1239943.9248352558,28.940662930577428
10001794,2050435.1371870725,54.2883949716067
10006308,0,0
10003800,0,0
10003014,85582.35308019753,2.4904113874799054
10000258,710483.7717697084,14.67945575655304
10006328,3227401.397391581,83.76461634530162
10000630,521096.7912350768,13.780374030836661
10000409,135225.3919602369,2.6178253280057064
10000525,108477.88491466994,3.024882966728606
10003138,0,0
10004903,825525.6440402992,20.71510846813405
10001068,123545.0748995362,2.2826564101927853
10005599,287195.58221453463,6.25360886890975
10001518,1822604.1934462145,32.449031957429774
10003135,0,0
10003202,NA,NA
10004005,716100.5650031358,13.127718128980574
10003175,0,0
10003144,0,0
10003145,0,0
10003227,302830.36937041266,8.947150079045231
10003124,0,0
10003196,1275611.237423921,26.505936973306465
10003200,NA,NA
10002298,NA,NA
10004018,463798.7587827845,9.063688053682721
10002305,369748.4109698924,10.018371853583735
10003996,NA,NA
10004002,NA,NA
10004004,540558.0859289488,11.123977347035934
10003993,260390.080297289,4.929950963828246
10001512,121576.16002621343,2.2622692094472554
10004003,808285.3477479441,19.449222942800162
10003990,158938.8742065447,3.202010880791045
10002723,192653.2970772942,3.485973682350798
10002281,444821.16013777885,8.685172054335858
10004241,1559975.80908399,45.47286956939588
10006598,116773.63144154183,3.03900641884442
10006600,1680966.2215350298,49.03337127876154
10006601,NA,NA
10003160,0,0
10000754,0,0
10003235,810866.362872775,23.87100315661671
10000763,0,0
10001496,285236.31133926305,6.572535337231132
10004921,1866395.946831968,37.67976669153475
10004923,1059659.8233559367,21.13481023864212
10001504,196579.93821262245,3.789582685737954
10005600,233550.68969991236,6.507132888403763
10003140,0,0
10001065,1019146.9399727463,22.08385927596131
10003141,0,0
10000528,64815.88033122807,1.859424152796931
10003128,0,0
10000745,149802.07419324038,3.13005156378431
10000744,0,0
