FACILITYID,haz_prox
10000002,2.9027026174141937
10000004,2330.0540739575226
10000006,0.11078974768646645
10000010,0.1345385023828363
10000013,0.09897120960129158
10000014,0.06073967419117343
10000017,0.10926063917153586
10000023,0.17384078324804078
10000025,0.036284020521175735
10000028,0.018665501420995316
10000033,1.8528528478094433
10000037,0.0975618826868066
10000041,0.0578867075301046
10000042,0.029851883860161625
10000043,0.037644355440907905
10000044,0.0364889483658658
10000050,0.14991753322301948
10000053,0.2089805094248438
10000055,0.11486651209914758
10000056,0.007311115972286673
10000057,0.08620093151909221
10000059,0.16257562714773868
10000060,0.23467317061203594
10000062,0.9043646540149958
10000065,1.8572942910529595
10000066,0.08233460277633828
10000069,0.15964629828251864
10000070,0.14735069417483707
10000075,0.03505935215422667
10000076,0.3306185456617316
10000078,0.05646007418176584
10000079,0.1661891694216576
10000080,0.1708792961449565
10000081,0.18196569460975692
10000083,0.03426100760934935
10000084,0.03585544211562655
10000085,0.020163910948609406
10000087,0.26467225453379634
10000088,0.022891193291774168
10000092,0.07308020071238505
10000094,0.3193575826969212
10000095,4.558497772311
10000098,0.047607670732507365
10000099,0.301935966032344
10000100,0.08675934748479153
10000101,0.04932229212681239
10000102,0.052718583845420795
10000103,0.0502952450523236
10000106,0.12243150581816878
10000107,0.021914439891023114
10000109,0.6403864117398599
10000110,0.020391989745455467
10000111,0.02252028667151843
10000116,0.09165007407879246
10000117,0.06080312272574526
10000118,0.375263500131684
10000119,0.46241347972719515
10000120,0.0409118432863825
10000121,0.04421281505858693
10000122,0.041600777347252205
10000123,1.7523369262392137
10000124,2.4476727027730316
10000126,0.1399820940090762
10000127,0.0064503157820616245
10000128,0.02978884655126569
10000129,0.06194410884313544
10000132,0.04775338032496343
10000136,0.044820936192279996
10000140,0.042272588209025526
10000141,1.1183692825789442
10000142,0.02639800040901351
10000143,0.0195510431992821
10000144,0.02502933247227745
10000146,0.5146910349283245
10000149,0.09076358409399972
10000150,2.482457027250929
10000151,0.014606938432120973
10000152,0.047965745393201635
10000154,0.22994741037259683
10000155,0.01555346396133652
10000156,0.008742372385132802
10000157,0.017009632877382986
10000159,0.11389531998686091
10000160,0.017982091512817207
10000161,0.030927589398825974
10000163,3.715595866394842
10000165,1.0019519124212426
10000172,0.2823150213314501
10000174,0.10811477416491758
10000175,0.06561908739617342
10000176,0.06293145856893823
10000178,0.11587099122469484
10000180,0.42974567585474116
10000182,1.3521963610460332
10000183,0.09850374334083792
10000184,0.06095100804315348
10000185,0.0711576986687048
10000186,0.03796292256243808
10000187,0.04044522573650905
10000188,0.1803340763968641
10000189,0.19223433418576738
10000190,0.02522044362350651
10000191,0.4628265954541816
10000194,0.030493663675856455
10000195,0.031162203571788026
10000196,0.0330269821707927
10000197,0.37490999861829455
10000198,0.35749631950679706
10000199,0.015009595337008044
10000200,0.03303608670696404
10000203,0.02966263173743315
10000204,0.4959539558828776
10000205,0.1394484921302782
10000206,0.027241657372712825
10000208,0.021551092354614994
10000209,0.22827087983668473
10000210,0.5766672678324455
10000211,0.20501631096304712
10000212,0.039987902957647585
10000213,0.6191407208535715
10000215,0.041047063140613634
10000216,1.3491821686785934
10000219,0.2845398554603043
10000220,0.05248294818539977
10000223,0.02137002398843703
10000224,0.07435464415879496
10000225,0.16477638121922464
10000226,0.06212105054073206
10000228,0.17540668032794382
10000229,1.1937173693136902
10000234,0.17894912489473178
10000237,0.02157745189761453
10000238,0.021505500671785003
10000241,0.08098254273582402
10000242,0.07907097601583102
10000243,0.11121279486553055
10000244,0.07884714076165127
10000245,0.13813259635030165
10000246,0.1553069729934141
10000247,0.5650349524778855
10000248,0.022488451673139388
10000251,0.22976403510088048
10000252,0.023883996185508315
10000253,0.02337646358299662
10000257,0.01888445034855988
10000258,0.03799609657215458
10000259,0.12495349236635082
10000260,3.7806082090762163
10000261,2.3409700008861263
10000262,2.9260273876910152
10000263,0.02375724326037373
10000264,0.012085105815883937
10000267,0.010636578666722185
10000269,0.4798254327937608
10000272,0.3774995202076482
10000273,0.30983209093241376
10000274,0.1861250954291832
10000275,0.14085010690299676
10000277,0.19562679578023376
10000278,0.18644748815200557
10000281,0.22991243281243143
10000282,0.3451284942559367
10000283,0.04781669273944666
10000284,0.03156771193663849
10000285,0.2507443856804242
10000292,1.528531863457817
10000293,1.2612417550469337
10000295,0.15012402034561165
10000297,0.02864515006518429
10000298,0.0850890210824132
10000302,0.8176402041144452
10000303,0.036218729935525204
10000304,2.308157765803847
10000307,0.025650502035949166
10000308,0.04856661844874435
10000309,0.0421491806605715
10000310,0.03141457367380928
10000312,1.2420086037226326
10000313,2.4839462354355555
10000314,3.7591396091355387
10000315,0.028240490463473947
10000316,0.03452530648665489
10000317,0.03730851769536924
10000318,0.027621871727349832
10000319,0.0199013106531239
