FACILITYID,npl_prox
10000002,0.031104290632809048
10000004,0.041699461543757366
10000006,0.013653067001039304
10000010,0.02495939055009412
10000013,0.03886674497904339
10000014,0.04256745235981256
10000017,0.0905458705407028
10000023,0.013948481259022337
10000025,0.05662082018497702
10000028,0.01783484755629864
10000033,0.08311180479078446
10000037,0.03230751498552486
10000041,0.07495139638383304
10000042,0.024506055214041318
10000043,0.04451262116760838
10000044,0.042900676321784126
10000050,0.011012149811199698
10000053,0.011488439300200408
10000055,0.0027567595818763684
10000056,0.004063263318454499
10000057,0.0035827292881726504
10000059,0.0020521284575229317
10000060,0.008198716414772524
10000062,0.010285537210547301
10000065,0.015569025653722741
10000066,0.013555000003811204
10000069,0.007030232143967771
10000070,0.0070057625506187255
10000075,0.024550746981985533
10000076,0.012690902095093697
10000078,0.011765566912245472
10000079,0.010798678031751429
10000080,0.010776951069459478
10000081,0.010793673051931275
10000083,0.015323138348856603
10000084,0.014843769499572808
10000085,0.008056253210836044
10000087,2.835516961674018
10000088,0.008104100276842717
10000092,0.046157660912921936
10000094,0.30832691967905207
10000095,0.012812602120178176
10000098,0.27345195325280686
10000099,0.032025704823913315
10000100,0.015638399978950196
10000101,0.01622472062727044
10000102,0.016573591712986776
10000103,0.016330655291108543
10000106,0.02186474185692842
10000107,0.017339191508083815
10000109,0.00891386273091376
10000110,0.01622592832523683
10000111,0.01769086976754525
10000116,0.00827560434625622
10000117,0.01837752511903244
10000118,0.015599501264290386
10000119,0.015707314827275644
10000120,0.028560618531021598
10000121,0.02369402261026825
10000122,0.017913968425093497
10000123,0.3523061510872439
10000124,0.17797368197403815
10000126,0.04541455921172985
10000127,0.005858039851151266
10000128,0.002748607921704681
10000129,0.042040012434800905
10000132,0.023160845336272978
10000136,0.035995682634630086
10000140,0.03555350830748589
10000141,0.2705539167992605
10000142,0.008497503446948565
10000143,0.013600444401131635
10000144,0.01957586189778674
10000146,0.01859876425214241
10000149,0.015278240993073962
10000150,0.03209390263412711
10000151,0.006814708575302192
10000152,0.010169448885437608
10000154,0.1543884974405073
10000155,0.034328614657432
10000156,0.005540348094502115
10000157,0.012132979365895564
10000159,0.007360738852405911
10000160,0.015652921883520934
10000161,0.010961878768858539
10000163,0.04872450025075323
10000165,0.2602986358463626
10000172,0.044505771899984975
10000174,0.005759947984255441
10000175,0.004571891480819903
10000176,0.004586245084387866
10000178,0.02105608368786159
10000180,0.006811371766376275
10000182,0.013924143749368451
10000183,0.030706825862990724
10000184,0.007267816329635478
10000185,0.007076732168435542
10000186,0.007690392607764553
10000187,0.007632390890118132
10000188,0.006233273915711281
10000189,0.00625593719184505
10000190,0.007154020308196164
10000191,0.02109492368624887
10000194,0.015589097047393469
10000195,0.0162921490757741
10000196,0.01585778224310646
10000197,0.010381478126714779
10000198,0.01040882093222836
10000199,0.011060415389732216
10000200,0.007900075015379898
10000203,0.007226446612648309
10000204,0.20319897618405267
10000205,0.015533918420154263
10000206,0.011756975774708956
10000208,0.021283875766915813
10000209,0.019073968000591912
10000210,0.01971308690623731
10000211,0.018629144685664116
10000212,0.014151737844844968
10000213,0.02276546000553111
10000215,0.01401646948506988
10000216,0.01398584783081717
10000219,0.015769383372769875
10000220,0.08866897141103501
10000223,0.011745212359955076
10000224,0.056495309466579886
10000225,0.02724487390850728
10000226,0.008894905904481023
10000228,0.013369044229720562
10000229,0.09673091725798527
10000234,0.04890240451063539
10000237,0.01907808581347307
10000238,0.018938793406370037
10000241,0.0221712683881556
10000242,0.021569146261688245
10000243,0.06166731961187946
10000244,0.02273011461677219
10000245,0.05235490111054185
10000246,0.02692930285967762
10000247,0.009069844440372489
10000248,0.013600303468755943
10000251,0.04637391593755324
10000252,0.02064411200752306
10000253,0.020240153088473725
10000257,0.0065841422442592746
10000258,0.0038533301461951422
10000259,0.002994871998313957
10000260,0.02122206715555809
10000261,0.0035001406915380995
10000262,0.012833796846217852
10000263,0.0170228986597993
10000264,0.004211654206612922
10000267,0.20442328355626613
10000269,0.06496016691509737
10000272,0.1699757037169699
10000273,0.15548810675362965
10000274,0.475933769358734
10000275,0.019439260388598195
10000277,0.19060038794800377
10000278,0.15803902876174422
10000281,0.5370601336111005
10000282,0.19597812240527776
10000283,0.07097394247244164
10000284,0.037664027446027176
10000285,0.11978004275865409
10000292,0.07617277842485545
10000293,0.0780972397345475
10000295,0.05677409125243876
10000297,0.010130513560075893
10000298,0.01349131753582223
10000302,0.08520209944246585
10000303,0.0100398394482292
10000304,0.00915152486932256
10000307,0.02497434345656214
10000308,0.007889760848124835
10000309,0.009601564782446
10000310,0.008172886384494748
10000312,0.015829607095730464
10000313,0.017566741972212894
10000314,0.016712461612153725
10000315,0.009357863834894273
10000316,0.00996841463142529
10000317,0.010902988230402344
10000318,0.013194157720417937
10000319,0.017032265164937263
10000320,0.01705873594751154
10000323,0.05257071935448106
10000325,0.13185697080660608
10000327,0.0157018805789842
10000328,0.021419526427416968
10000329,0.0216443397382001
10000330,0.05352403420866554
10000332,0.04264803542415084
10000333,0.04391994540743324
10000334,0.03152233993217512
10000335,0.031102898400886106
10000336,0.031164965424100223
10000337,0.03015528277381751
10000338,0.05566740564549718
10000339,0.12066124568486951
10000345,1.414487786061285
10000350,0.16058084839722586
10000351,0.01709488048660344
10000353,0.017040688489418858
10000355,0.019958049276244456
10000356,0.030249653510366768
10000357,0.030076808444561818
10000360,0.012359221723649089
10000361,0.0122795719362837
10000363,0.011360853755800891
10000365,0.021103207523804898
10000368,0.021198748357274116
10000369,0.06415288586527075
10000370,0.10124107796253454
10000374,0.030305507512532193
10000375,0.026778219075499946
10000378,0.02220311252524887
10000381,0.12671304336841677
10000382,0.1304193228199058
10000384,0.02121006822614939
10000385,0.02083536665562813
10000386,0.02072651522019695
10000387,0.025900196249697274
10000388,0.026285386042871305
10000390,0.01432942244594214
10000391,0.02404837470549197
10000392,0.023891190018761683
10000393,0.014427346464948379
10000394,0.014365833937794227
10000395,0.014490405546268285
10000396,0.014509931035346507
10000400,0.06953519237614633
10000402,0.014422427702042724
10000403,0.014431467503436407
10000405,0.014939548742446095
10000407,0.017515354309687564
10000409,0.02112697066173229
10000410,0.02080426615058577
10000411,0.02615262342613786
10000412,0.025634665475568027
10000413,0.018407384735426687
10000414,0.020786020418296212
10000416,0.01916024813509892
10000417,0.019203757596860584
