FACILITYID,rmp_prox
10000002,0.44178383804748483
10000004,1.4013019787930558
10000006,0.03800342046359156
10000010,0.13138017653152173
10000013,0.10302593004685859
10000014,0.1971817412608918
10000017,0.10926063917153586
10000023,0.032926227180228904
10000025,0.06063879748556951
10000028,0.021461217217293098
10000033,0.6627044991800398
10000037,0.11706916389811628
10000041,0.2549665763636434
10000042,0.28487266186399435
10000043,0.08620945999073731
10000044,0.08600878403592695
10000050,0.1144356563760824
10000053,0.2105053546497881
10000055,0.1042123316061403
10000056,0.010399170907804964
10000057,0.09255661632892093
10000059,0.16257562714773868
10000060,0.031424591786081084
10000062,9.28244617732093
10000065,1.4025923989613331
10000066,0.10654114463886849
10000069,0.025648706941895735
10000070,0.025291086113248616
10000075,0.03234195020826994
10000076,0.6117558734178659
10000078,1.0269908106301966
10000079,0.17874311986429792
10000080,0.17358715248978654
10000081,0.17992320396767814
10000083,0.03216763226431328
10000084,0.03434248601793279
10000085,0.023651953681254268
10000087,1.691549554436586
10000088,0.03185595001858796
10000092,0.014861584310425292
10000094,0.07838935859850622
10000095,0.015917119058008508
10000098,0.047607670732507365
10000099,0.04286280712442201
10000100,0.017953706710365943
10000101,0.054264882719821786
10000102,0.0584505212648937
10000103,0.055534282726799555
10000106,0.18292822537353762
10000107,0.035541873545749024
10000109,0.17159151629983432
10000110,0.04035833195382102
10000111,0.045004013474308734
10000116,0.12213151814521961
10000117,1.7374377638715575
10000118,0.05805784327597104
10000119,0.059493241202835695
10000120,0.05172289961848568
10000121,0.07007168399043982
10000122,0.05853732662377588
10000123,0.5499167374178909
10000124,0.2158698122749326
10000126,0.07357963338986422
10000127,1.3938117645222339
10000128,0.0316447570882246
10000129,0.08375103145922796
10000132,0.596811917234709
10000136,0.06584004968573383
10000140,0.213217058681352
10000141,0.24127480226833292
10000142,0.017539411734521514
10000143,0.04533984275014588
10000144,0.05165718429626477
10000146,0.0948965083703632
10000149,0.20356634189291375
10000150,1.1221051140618223
10000151,0.1449342147876378
10000152,0.23338813379046858
10000154,0.5891642613770518
10000155,0.813155549642137
10000156,0.14144321607020163
10000157,0.0436763239441217
10000159,0.16633326989374647
10000160,1.192391323640464
10000161,0.9501329136995298
10000163,1.0169726802460215
10000165,0.12511666370836433
10000172,0.21617484688432664
10000174,0.09784676725001973
10000175,0.5186407728249836
10000176,0.6122653175972924
10000178,0.3774073113568263
10000180,0.02444759361792597
10000182,0.1741625925279842
10000183,0.13707951761192147
10000184,0.0695309168018677
10000185,0.08659465641490822
10000186,0.04088888152692336
10000187,0.04375632705243667
10000188,1.2845399391538486
10000189,1.7885791670154787
10000190,0.17346579482346625
10000191,0.11604607337489428
10000194,0.1852993654167809
10000195,0.4049140670507308
10000196,0.1445430743444984
10000197,1.5042628845257373
10000198,1.674824310575535
10000199,0.023687675415234102
10000200,0.028679178132340635
10000203,0.04431392873233242
10000204,0.14196512729157668
10000205,1.5300575890697878
10000206,0.11883415139870145
10000208,1.2315223809388565
10000209,0.9252370126340687
10000210,0.8067974677780707
10000211,2.6098483048200025
10000212,0.12682057333145144
10000213,0.26753511580787764
10000215,0.11404068316081134
10000216,1.377134158217387
10000219,0.23072630879025288
10000220,0.06260842504331036
10000223,0.238591352118214
10000224,0.07435464415879496
10000225,0.09646903274207703
10000226,0.6075463808165944
10000228,0.15395288128778423
10000229,3.033573671542735
10000234,0.13760239024654314
10000237,0.11455656371764186
10000238,0.11060689082574206
10000241,0.05056446222462961
10000242,0.04756876273148774
10000243,0.24226532001332343
10000244,0.05328031221820026
