FACILITYID,flood_risk,wildfire_risk,lst_avg,percent_tree_cover,flood_risk_pcntl,wildfire_risk_pcntl,lst_avg_pcntl,percent_tree_cover_pcntl,climate_score,mean_ozone,avg_pm25,pesticides,trafficProx,mean_ozone_pcntl,avg_pm25_pcntl,pesticides_pcntl,trafficProx_pcntl,exposure_score,npl_prox,rmp_prox,haz_prox,npl_prox_pcntl,rmp_prox_pcntl,haz_prox_pcntl,effects_score,final_risk_score,final_risk_score_pcntl
10006642,0,32.74285714285714,27.670000000000016,65.63995982790517,28.473019517795638,47.238605898123325,5.247285886610374,3.984921917070544,12.950045225855195,60.76570701599121,7.900000095367432,17.693111419677734,123.933748808316,49.78237214363438,66.25067824199674,71.63538873994638,84.15094339622642,66.77488238030834,0.09119957728343976,0.06676711606670684,0.1752712874295313,81.3941018766756,28.632707774798927,55.924932975871315,50.70143790375043,43.475455169971326,43.59249329758713
10000729,10.067418317712145,29.37837837837838,26.53000000000003,79.61788927429747,62.05510907003444,45.0402144772118,3.2569360675512664,0.2692514808831448,7.036170129700878,58.184030532836914,6.825000166893005,7.77121639251709,0,22.470076169749728,37.33043950081389,48.41823056300268,63.270440251572325,40.03772152114038,0.02260706876677915,0.04378623295040739,0.12636683671020071,45.20107238605898,17.962466487935657,47.39946380697051,33.7620943666944,26.945328672511884,8.096514745308312
10002616,0,247.72727272727272,40.25000000000003,0,28.473019517795638,86.91689008042896,78.34740651387213,100,66.35758657397076,73.80851745605469,7.3750001192092896,18.84561061859131,44.549122237149405,97.225244831338415,53.0113944655453,72.65415549597856,75.9748427672956,73.03308325580123,0.01311834685144182,0.16133045597010923,0.45641971137729026,22.25201072386059,54.04825737265415,70.3485254691689,43.90041763517163,61.09702915498121,89.54423592493298
10003486,0,136.19354838709677,43.410000000000025,3.798310734497768,28.473019517795638,75.71045576407506,87.99758745476478,72.59019924609585,60.91644283396562,64.7379379272461,6.233333349227905,1.0624472498893738,42.20149752791426,80.9575625680087,22.951709169831798,17.855227882037532,75.28301886792454,39.754264227616304,0.00249317105728575,0.1590698985746943,0.26789470424893425,0.8042895442359249,53.67292225201072,64.55764075067025,14.072516666299542,38.24774124262716,27.989276139410187
10003455,13.012404214128972,35.25806451612903,43.09000000000003,0.09751212869621052,67.91044776119402,48.68632707774799,87.03256936067551,91.2762520193861,71.58891865821548,71.40049362182617,8.366666793823242,17.772114753723145,360.8472228335948,95.21218715995647,77.31958762886599,71.68900804289544,90.12578616352201,83.04642220807219,0.22019760772954072,0.20902842319815612,0.09850876908937072,94.2627345844504,62.03753351206435,40.80428954423593,62.02500281794918,72.22011456141229,98.1769436997319
10003460,4.726235771660486,0.3793103448275862,NA,0.04374210402763993,49.540757749712974,7.6675603217158175,NA,92.83791060850834,32.79304422410944,70.08378219604492,9.688888867696129,0.8721257448196411,NA,94.069640914037,96.2561041779707,15.44235924932976,NA,51.90355913813418,0.19768827045178256,0.7744240869631025,3.5678690331120526,92.86863270777481,81.34048257372655,91.90348525469169,88.54606364661552,57.747555669619715,83.16353887399464
10003488,2.782416354784291,1956.6774193548388,NA,0.08208931638962377,42.47990815154994,98.12332439678283,NA,91.59935379644588,72.54643530850696,65.56236775716145,6.1249998807907104,0.8262526094913483,0,84.43960826985855,20.45577862181226,14.959785522788206,63.270440251572325,35.757908776348806,0.00259664085571321,0.07914739179205495,0.04906896378787281,0.8579088471849867,33.19034852546917,26.970509383378015,9.15757960875893,39.15397456453823,30.61662198391421
10003483,0,77.44827586206897,49.25000000000006,0.8902652577543654,28.473019517795638,64.28954423592494,95.71773220747889,83.36025848142164,61.82033177378786,64.03681564331055,4.549999952316284,13.468545913696287,10.227566345817152,76.93144722524482,0.759631036353771,66.75603217158177,66.47798742138365,22.56673584441017,0.0245927868404746,0.21879271042605025,0.00553840259422287,48.47184986595175,63.05630026809651,0.37533512064343166,10.468370732993117,31.61847945039705,14.584450402144771
10003472,4.566127842377174,34.06666666666667,42.58000000000001,1.011780924552334,49.08151549942595,48.04289544235925,85.22316043425813,82.55250403877221,63.820287469567916,72.55461883544922,7.949999570846558,18.87147331237793,2124.2681345657284,96.30032644178455,67.11882799782963,72.76139410187668,97.73584905660377,82.33922146725762,0.01456365772015376,1.0291489578468322,0.892910918540716,27.1313672922252,85.7372654155496,78.33780160857908,56.694060483402815,67.61785647340945,96.46112600536193
10003479,0,93.86206896551724,NA,0.2674729717779501,28.473019517795638,68.31099195710456,NA,89.22994076467421,55.77996543141136,61.80990886688232,6.400000095367432,4.471323490142822,85.09819450845575,60.554951033732316,26.96690179055887,31.63538873994638,81.13207547169812,45.24666957684597,0.00409074548997728,0.02945772573485056,0.02397875496681797,2.5737265415549597,8.68632707774799,10.616621983914209,6.191487178544222,35.73937406226718,22.25201072386059
10003464,0.6766678212079256,30.78846153846154,44.24120000000002,0.1156059049195852,32.83582089552239,46.05898123324397,89.20386007237636,91.11470113085622,59.21184275460252,64.35561943054199,8.36666660308838,19.253625869750977,NA,79.21653971708379,77.21106890938687,73.45844504021449,NA,76.59123186317136,0.04873098949846988,0.11973483499695732,0.21625387445900457,67.828418230563,44.45040214477211,60.32171581769437,56.65701503074286,64.15336321617225,93.02949061662198
