FACILITYID,trafficProx
10006642,123.93374880831601
10000729,0
10002616,44.549122237149405
10003486,42.20149752791426
10003455,360.8472228335948
10003460,NA
10003488,0
10003483,10.227566345817152
10003472,2124.2681345657284
10003479,85.09819450845575
10003464,NA
10003465,NA
10002617,51.47116516453341
10003453,93.15929178314136
10001701,0
10003447,0
10003461,152.01022400126197
10001699,108.46442504594745
10001080,0
10001082,157.03488732893135
10001091,74.67558665324925
10001090,0
10004024,0
10001574,0
10001936,379.39172964718597
10004134,507.0554967423872
10006305,0
10001925,0
10006956,NA
10006957,0
10001590,0
10000356,0
10000187,0
10002941,0
10000186,0
10000205,0
10000257,0
10004143,0
10004146,9.580302310675265
10002998,0
10001866,940.1810336348289
10006614,720.2719084841424
10001980,0
10001794,0
10006308,0
10003800,1.1780589942395518
10003014,1334.8311106336803
10000258,NA
10006328,0
10000630,602.7492463864451
10000409,0
10000525,NA
10003138,0
10004903,0
10001068,0
10005599,93.98238142922348
10001518,0
10003135,0
10003202,0
10004005,NA
10003175,0
10003144,23.615666323340562
10003145,31.42026199066236
10003227,NA
10003124,25.976624596291696
10003196,12.687943639116796
10003200,0
10002298,NA
10004018,0
10002305,0
10003996,NA
10004002,NA
10004004,0
10003993,NA
10001512,NA
10004003,NA
10003990,NA
10002723,0
10002281,0
10004241,0
10006598,1078.4661591126023
10006600,NA
10006601,0
10003160,749.2380333415067
10000754,0
10003235,NA
10000763,0
10001496,0
10004921,31.85840147668619
10004923,62.4235483713926
10001504,0
10005600,16.32339047419258
10003140,24.353332261889367
10001065,965.1802168977338
10003141,0
10000528,NA
10003128,0
10000745,1368.2172028370414
10000744,0
10004895,0
10004920,0
10003131,0
10004256,66.7049666669821
10002290,550.0839825907831
10003127,0
10006608,0
10003757,0
10003199,3255.8587517980372
10003195,21.160377389024507
10003166,0
10003188,10.006317556942406
10003198,256.0816404781605
10003132,30.94100488500957
10003122,24.730496003272528
10003189,0
10006203,0
10006519,0
10001054,0
10001060,184.85289519477877
10001075,15.235125514715403
10003152,124.50297549503324
10003149,593.1845061283608
10001072,85.9172737933506
10001071,296.8493690690933
10004712,0
10001051,0
10006382,745.3401399997892
10001059,112.29915097494691
10001052,76.85628015315471
10006545,9.988189783499045
10003204,0
10006198,0
10002713,35.65545798916307
10003197,0
10005554,155.14233019816558
10006616,0
10003146,0
10000752,0
10004928,7.354529019195783
10001816,NA
10001547,0
10004121,1061.710341600299
10001586,10.453606604404435
10001582,110.71523056297286
10001578,0
10003268,0
10003327,0
10006658,0
10006663,0
10001096,235.4525836378044
10001077,185.57461378548916
10001087,0
10001099,58.50537542067445
10005639,668.5896162612287
10001100,3.786222103038276
10001856,87225.51858601197
10001853,0
10001852,83.68042832411707
10001078,NA
10001863,58.337310621333835
10001076,68.48703358070092
10006541,2495.6810601003676
10001089,162.88954476693823
10001862,0
10001861,0
10001093,407.78298236378913
10001871,578.5205251483817
10001869,0
10004286,0
10003073,0
10001597,0
10001232,0
10003316,0
10000387,0
10005043,0
10000360,0
10000370,0
10001240,0
10002843,0
10002987,NA
10002988,0
10003012,0
10003002,0
10002997,0
10003006,0
10000261,NA
10003004,0
10003799,0
10000260,NA
10006331,0
10002991,0
10002995,NA
10002996,0
10003005,0
10003000,0
10000259,NA
10003008,0
10005319,0
10005272,0
10005267,0
10005362,0
10005275,0
10000811,0
10000840,4761.1417481088165
10000881,0
10000784,0
10002322,115.35878158742399
10000492,0
10004116,0
10002176,0
10006596,444.8582543014032
10006208,0
10004122,108.52704266407318
10006597,438.43041337879276
10000540,NA
10006389,NA
10003579,0
10001737,0
10006505,0
10000155,0
10006304,29.874270461209655
10001790,NA
10001776,0
10006507,NA
10006509,0
10002897,0
10001301,0
10006513,0
10000917,NA
10001550,NA
10000182,4611.860959384994
10001544,NA
10000879,0
10004922,0
10005830,NA
10001636,9.407458702588986
10001614,83.37781183866132
10006354,0
10006148,0
10002347,0
10001761,0
10002908,48.692715245034016
10001826,0
10001023,17.09870211370564
10001759,0
10004216,0
10004177,109.06090170268043
10004219,0
10001763,0
10001801,2093.358912255547
10001552,NA
10004173,4054.7472127253113
10004165,NA
10001788,0
10004035,NA
10001558,0
10001752,NA
10000053,9.591762071690097
10002359,0
10003759,0
10002364,388.7568685559759
10006353,0
10004226,0
10004183,0
10001569,0
10001570,288.6594390964839
10001556,0
10001553,1436.843004154759
10000919,42.70530198582595
10001747,0
10004213,NA
10001777,716.4790462076409
10001548,0
10001560,39.82550054578533
10001793,0
10004008,1.7798995449247366
10000386,0
10006217,0
10001021,0
10003761,0
10001559,0
10004174,881.4499555030814
10006201,0
10001546,0
10000918,NA
10001745,NA
10002600,NA
10002560,0
10001543,52.577863876116524
10004153,1336.3827211210196
10004040,0
10000251,190.33835082316935
10002367,1347.9744567188877
10006216,0
10001567,0
10001542,214.14453900565744
10002361,NA
10004740,0
10004027,16.6823512092366
10001566,0
10001564,703.1848509991092
10006584,0
10001231,0
10000533,0
10000519,NA
10004029,26.086318142849382
10004741,0
10004742,0
10006310,32.72114398775132
10006315,37.021533561810635
10006585,0
10004204,NA
10004028,3.5309305176633905
10006348,0
10000060,0
10000219,42.29177423619058
10002885,129.9711500732352
10004017,0
10000621,0
10000252,35.282027206627106
10002817,408.0593878544538
10000915,53.143408220119326
10002510,674.6648518458486
10006547,0
10000990,142.2461349056714
10003592,NA
10001697,212.27334506757103
10003047,0
10003591,0
10002589,0
10002579,NA
10003572,NA
10003950,312.7458916796993
10004573,0
10002556,0
10000417,0
10003587,0
10000445,0
10000507,16.166215790609307
10000405,0
10000474,0
10006329,NA
10006334,0
10000980,0
10002152,0
10000025,48.994181264771605
10002223,66.84998831713352
10002230,144.3386251248294
10004586,32.11964365869868
10004598,2674.445293163259
10004627,43.63367548713393
10000335,0
10000426,56.42258902922276
10002301,178.91769528579044
10000429,0
10000017,0
10001448,NA
10000509,0
10001437,718.88194779728
10000737,17.304307797846164
10004649,NA
10001443,18.360187080534036
10000413,0
10006168,0
10001713,0
10001958,0
10001145,0
10001725,0
10004556,0
10004585,0
10000433,0
10000441,0
10001732,0
10006602,0
10001729,0
10001733,0
10003121,96.12460939144991
10001133,NA
10002688,0
10001176,0
10000986,0
10001716,0
10003077,84.64813636785088
10001204,NA
10001042,37.05054822331885
10003082,13.475320855127196
10001150,NA
10000696,0
10001722,25.98136835068462
10001519,242.9432861653569
10002225,0
10004239,0
10002629,NA
10002689,5.063574869261463
10003580,0
10003585,NA
10003584,NA
10003387,1421.4349567403474
10000223,101.69801765044508
10000195,0
10001143,0
10000770,1491.007995868058
10000244,0
10000237,0
10000160,7.001418704849607
10000211,869.4019351087858
10000180,33.37666988483046
10003995,NA
10000481,0
10001867,8861.883431496653
10004580,0
10000351,0
10001875,0
10000157,0
10001061,57.49175327562678
10001873,NA
10000438,NA
10001286,42.213406025887934
10000393,16.327245477262153
10001265,1230.5184350359991
10001303,409.0067930815254
10000189,29.300034905998103
10003134,44.469825899048054
10003136,0
10002287,0
10003165,0
10003192,229.9076297254875
10003193,0
10003156,0
10003130,0
10001821,NA
10004447,0
10001404,0
10001601,0
10003308,0
10001960,NA
10002096,NA
10000751,205.10986738920184
10000759,410.92363256903866
10000378,0
10002098,0
10003787,NA
10003769,0
10003795,0
10001249,0
10000676,121.88770736651091
10004446,0
10001246,5.21464715066155
10003783,NA
10006611,NA
10001279,123.290947785052
10001401,NA
10001408,107.64806127938787
10004444,0
10002101,1288.6238956349132
10001393,0
10006576,0
10004449,0
10001392,NA
10004451,7.090319783821478
10000282,14.99905133203649
10004443,0
10001396,NA
10003864,0
10001235,0
10001457,NA
10006591,NA
10002630,0
10003201,5.735396219074138
10000059,0
10000165,0
10003601,NA
10003603,NA
10003602,0
10006587,NA
10006588,NA
10006589,NA
10006590,NA
10006592,NA
10000496,0
10002658,16.244086239203046
10001575,0
10003255,0
10002377,0
10001585,23.58234083791076
10003626,NA
10006184,199.86640504444082
10000461,34.25391288454965
10001584,50.045973066090816
10003329,0
10001238,0
10006573,0
10003330,0
10001573,0
10001572,0
10001579,0
10003310,0
10001603,0
10003263,0
10000924,0
10003125,14.875504691254744
10003170,0
10001592,0
10001233,0
10003320,NA
10003333,41.18022619645471
10003278,NA
10001589,0
10005834,0
10001581,0
10006218,12.714606598506945
10003289,0
10000925,0
10001593,0
10001594,0
10001591,0
10002380,0
10003284,83.23405667010253
10003256,0
10003247,0
10003253,0
10006672,0
10001241,0
10003764,0
10006386,0
10002108,18.09600373951936
10005201,0
10002142,0
10002861,217.07754306386343
10005378,0
10001384,0
10002800,0
10002801,0
10002872,12688.141067085991
10002860,0
10000269,NA
10000274,NA
10002913,0
10002914,0
10002701,0
10003116,Inf
10003075,0
10005949,NA
10006977,0
10006979,1546.5575534856184
10006981,0
10006983,NA
10006988,NA
10000092,6.522077416641
10001915,NA
10003076,0
10003066,0
10006992,65.78641259470186
10007010,0
10007011,NA
10007013,NA
10000264,0
10007018,0
10001364,122.94871941004459
10002506,42.1346388737784
10003068,0
10003616,0
10000253,0
10000874,1106.210492941838
10005124,262.60992795331526
10004659,351.58433901944477
10004660,243.86627964485263
10004592,0
10004593,0
10006179,NA
10006180,NA
10003846,233.132286274043
10006194,0
10003978,35.599491676270986
10004622,843.2115411720124
10000278,628.702665259703
10001957,0
10000132,0
10001223,18.144996328171732
10001214,0
10001954,0
10000129,0
10000140,0
10000149,0
10003698,NA
10000142,0
10001226,NA
10001209,0
10003721,NA
10003728,0
10000150,NA
10000146,16.929325166058685
10001199,NA
10001216,NA
10001197,0
